base,serie,code,color,desc,prop,cat
3,UG,HUG308,#f2f1ec,LIGHTNING BUSTER WHITE,SG,
3,UG,XHUG01,#4f7bbe,GUNDAM AERIAL BLUE,SG,
3,UG,XHUG02,#f8fafd,GUNDAM AERIAL WHITE,SG,
3,UG,XHUG03,#808285,GUNDAM AERIAL GRAY,SG,
3,UG,XHUG04,#b12c7d,GUNDAM LFRITH PINK,SG,
3,UG,XHUG05,#867e86,GUNDAM LFRITH GRAY,SG,
3,UG,XHUG06,#cacc99,CHUCHUʼS DEMI TRAINER YELLOW,SG,
3,UG,XHUG07,#9e3c35,DARILBALDE RED,SG,
3,UG,XHUG08,#616777,GUNDAM PHARACT GRAY,SG,
3,UG,XHUG09,#a19ebd,MICHAELIS PURPLE,SG,
3,UG,XHUG10,#534d76,BEGUIR-PENTE VIOLET,SG,
3,UG,XHUG11,#347c7a,GUNDAM LFRITH UR GREEN,SG,
3,UG,XHUG12,#918176,GUNDAM LFRITH THORN BROWN,SG,
3,UG,XHUG13,#374b6e,GUNDAM AERIAL REBUILD BLUE,SG,
3,V,HMS01,#f2ceaf,BODY COLOR A,SG,
3,V,HMS02,#f9e1c7,BODY COLOR B,SG,
3,V,HMS03,#e0a689,BODY COLOR C,SG,
3,V,HMS04,#f7cac2,CLEAR PALE RED,C,
3,V,HMS05,#fccb9d,CLEAR PALE ORANGE,C,
3,V,HMS06,#f8a377,CLEAR PALE BROWN,C,
3,V,HMS07,#ffffff,CLEAR WHITE,C,
3,V,HMS08,#ffffff,SMOOTH PEARL CORT,SG,
0,W,WC01,#211e1d,MULTI BLACK WEATHERING COLOR,W,
0,W,WC02,#271c13,GROUND BROWN WEATHERING COLOR,W,
0,W,WC03,#623122,STAIN BROWN WEATHERING COLOR,W,
0,W,WC04,#d2c3ae,SANDY WASH WEATHERING COLOR,W,
0,W,WC05,#dddddd,MULTI WHITE WEATHERING COLOR,W,
0,W,WC06,#64656a,MULTI GRAY WEATHERING COLOR,W,
0,W,WC07,#8c7457,GRAYISH BROWN WEATHERING COLOR,W,
0,W,WC08,#c07d47,RUST ORANGE WEATHERING COLOR,W,
0,W,WC09,#163866,SHADE BLUE FILTER LIQUID,W,
0,W,WC10,#efcd48,SPOT YELLOW FILTER LIQUID,W,
0,W,WC11,#867399,LAYER VIOLET FILTER LIQUID,W,
0,W,WC12,#3a583a,FACE GREEN FILTER LIQUID,W,
3,W,WT01,#ffffff,WHITE WEATHERING COLOR GOUACHE,W,
3,W,WT02,#030303,BLACK WEATHERING COLOR GOUACHE,W,
3,W,WT03,#6e675e,LIGHT MUD BLOWN WEATHERING COLOR GOUACHE,W,
3,W,WT04,#e4864d,LIGHT RUST WEATHERING COLOR GOUACHE,W,
3,W,WT05,#d2c8b6,LIGHT DUST WEATHERING COLOR GOUACHE,W,
3,W,WT06,#b1a4a1,BURNT UMBER WEATHERING COLOR GOUACHE,W,
0,W,MIG01,#614f28,DARK WASH WWⅡ WESTERN FRONT,W,
0,W,MIG02,#5c2f1c,DARK STREAKING GRIME WWⅡ WESTERN FRONT,W,
0,W,MIG03,#f7f3df,DRY MUD WWⅡ WESTERN FRONT,W,
0,W,MIG04,#e7dec2,EUROPE DUST WWⅡ WESTERN FRONT,W,
0,W,MIG05,#564b27,WINTER WASH WWⅡ EASTERN FRONT,W,
0,W,MIG06,#352315,WINTER STREAKING GRIME WWⅡ EASTERN FRONT,W,
0,W,MIG07,#543a1f,FRESH DARK MUD WWⅡ EASTERN FRONT,W,
0,W,MIG08,#c28861,DRY EARTH WWⅡ EASTERN FRONT,W,
0,W,MIG09,#ead8a1,SAND FILTER WWⅡ AFRIKA KORPS,W,
0,W,MIG10,#543f20,WINTER STREAKING GRIME WWⅡ AFRIKA KORPS,W,
0,W,MIG11,#d0a375,GREY STREAKING GRIME WWⅡ AFRIKA KORPS,W,
0,W,MIG12,#f7f3c5,LIGHT DUST WWⅡ AFRIKA KORPS,W,
0,W,MIG13,#230a07,FUEL & OIL,W,
0,W,MIG14,#805e33,EARTH & GRIME,W,
3,W,MIG15,#54341b,CHIPPING,W,
0,W,MIG16,#b13a2e,RUST,W,
0,V,CA01,#3a3b3d,GLAY TONE 1,G,
0,V,CA02,#6e7073,GLAY TONE 2,G,
0,V,CA03,#a1a2a6,GLAY TONE 3,G,
0,V,CA04,#ddddde,GLAY TONE 4,G,
0,V,CA05,#5b5354,CARBON GLAY,SG,
0,V,CRE01,#6f2e32,CRANBERRY RED PEARL,PA,P
0,V,CRE02,#27bdbe,CERULEAN BLUE,G,P
0,V,CRE03,#374a3f,BRITISH GREEN,G,P
0,V,UM01,#97999c,ULTRA SILVER,ME,
0,V,UM02,#d5a828,ULTRA GOLD,ME,
0,V,CV01,#b04d40,VELVET RED,ME,
0,V,CV02,#1f5293,VELVET BLUE,ME,
0,V,CV03,#367c5f,VELVET GREEN,ME,
0,V,LAC101,#231f20,ALUMITE BLACK,SG,
0,V,LAC102,#514946,PARKER GUN METALLIC,ME,
0,V,LAC103,#a8a9ad,STAINLESS SILVER,ME,
0,V,LAC104,#002d49,BLUED GUN METALLIC,ME,
0,V,LAC105,#8e804e,FLAT DARK EARTH 1,M,
0,V,LAC106,#877059,FLAT DARK EARTH 2,M,
0,V,XGC01,#e0e1de,BRUNHILD WHITE,G,
0,V,XGC02,#39828b,HYPERION GREEN,G,
0,V,XGC03,#859e78,FREE PLANETS ALLIANCE STANDARD BATTLESHIP GREEN,G,
