0,4126
1,4129
2,4134
3,4128
4,4140
5,4150
6,4156
7,4159
8,4168
9,4253
10,4190
11,4201
12,4206
13,4207
14,4267
15,4268
16,4269
17,4214
18,4170
19,4264
35,9958
36,9960
37,9968
38,9974
39,9975
40,9976
41,9977
42,9978
43,9979
44,9980
45,9982
46,9983
47,9985
48,9987
49,9988
55,5171
56,5209
57,5232
58,5247
59,5255
60,5344
61,5348
67,4833
68,5302
72,5333
73,5324
238,5337
239,5344
240,5310
241,5348
243,5363
244,5153
245,5247
246,5232
283,4126
284,4128
285,4140
286,4156
287,4159
288,4168
289,4253
290,4190
291,4195
292,4206
293,4207
294,4267
295,4268
296,4269
297,4214
298,4170
299,4132
300,4169
301,4147
302,4176
303,4184
304,4179
305,4264
324,9840
325,9851
326,9897
327,9891
328,9930
329,9919
330,9926
331,9938
332,9852
333,9866
334,9917
335,9882
336,9889
337,9958
338,9960
339,9967
340,9963
341,9964
342,9965
343,9966
344,9968
345,9974
346,9974
347,9975
348,9976
349,9977
350,9978
351,9979
352,9980
353,9982
354,9983
355,9985
356,9989
357,9990
358,9992
359,9993
360,9994
364,9866
365,9843
367,9844
368,9730
370,9735
371,9774
372,9941
373,9942
377,9782
378,9888
379,9906
380,9903
381,9926
386,5171
387,5209
388,5232
389,5247
390,5255
391,5262
392,5336
393,5326
394,5147
397,5343
398,5352
399,5343
400,5153
401,5363
402,5159
403,5208
404,5354
405,5337
406,5237
407,5344
408,5342
409,5348
412,5357
416,5328
417,5241
418,5294
419,5310
420,5302
421,5317
422,5236
423,5244
430,5242
431,5332
432,5333
433,5324
434,5323
435,5276
436,5307
437,5301
671,5336
672,5342
673,5337
674,5344
675,5310
676,5348
677,5147
679,5363
680,5153
681,5247
682,5232
789,5158
789,7702
806,5733
806,7723
806,11733
807,5233
807,5767
807,7723
807,10510
807,11690
839,2272
839,9941
844,2288
844,5203
848,5677
848,9926
848,10935
852,5236
852,9883
852,10980
853,5235
853,5738
853,7690
853,9702
853,10968
854,2273
871,5327
871,10969
871,11724
920,8580
925,9624
926,9626
927,9626
938,9627
948,2271
948,9932
949,9896
949,11494
950,2267
950,5687
950,9917
950,11490
951,5741
951,9714
951,9882
952,5743
952,7703
952,9891
952,10975
953,9882
961,5813
961,9897
961,10966
962,7727
962,9897
962,10961
963,2254
963,5776
963,9848
963,11692
964,2255
964,5718
964,9848
964,11691
965,2268
965,9926
966,2270
966,5837
966,9930
967,10553
967,11018
967,11673
968,9684
973,2300
973,7727
973,10961
974,2301
975,2266
975,9940
976,2265
976,9940
977,9916
979,2269
980,9906
981,5819
981,9905
981,10445
981,10533
981,10983
981,11472
982,5799
982,7730
982,9905
982,10981
982,11701
983,5672
983,9945
985,5671
985,9661
985,9666
985,9943
985,10928
985,11711
986,4775
986,5664
986,9732
986,10929
987,5673
987,9774
987,10933
988,5822
988,7743
990,5814
993,2311
994,5740
994,9840
995,9897
997,2253
997,9840
1003,2290
1007,5816
1007,7383
1007,11487
1007,11726
1018,2295
1019,2296
1020,2297
1020,7698
1020,9866
1020,10525
1020,10973
1021,2298
1021,7759
1021,9937
1021,10974
1021,11390
1021,11676
1022,10575
1022,11010
1023,2299
1023,9954
1023,10975
1042,9958
1043,9974
1044,9975
1045,9976
1046,9977
1047,9980
1048,9648
1048,9982
1049,9983
1059,9978
1060,9979
1061,9985
1062,9987
1063,9988
1064,9700
1064,9970
1064,9991
1065,9971
1065,9992
1066,9993
1071,9972
1078,4869
1079,2431
1079,4886
1080,2433
1080,5212
1081,5302
1081,9665
1082,5342
1083,5310
1084,5348
1084,9690
1085,5344
1085,9642
1086,2454
1087,2455
1088,2456
1091,2458
1092,2459
1093,2460
1099,2376
1099,9960
1100,5232
1100,9645
1101,5247
1101,5767
1101,9646
1101,9693
1102,5153
1103,5363
1104,5326
1104,9701
1105,2436
1105,5241
1106,5160
1107,2449
1107,5337
1107,9657
1108,2448
1108,2514
1108,5336
1108,9710
1109,2446
1109,5334
1110,2444
1110,5328
1110,9694
1111,2442
1111,5318
1111,9650
1112,2430
1112,4870
1113,5382
1114,2432
1114,5208
1115,5262
1116,2439
1116,5266
1117,2443
1117,5323
1117,9649
1117,9691
1119,9819
1120,9911
1121,9923
1122,9766
1123,9851
1124,9876
1125,9886
1126,9898
1127,2423
1128,2424
1129,2425
1130,2426
1131,2420
1132,2422
1133,2421
1134,2428
1137,2427
1138,2474
1139,2478
1141,2479
1142,2480
1143,2481
1145,2477
1146,2471
1147,2472
1148,2473
1149,2475
1150,2476
1151,2462
1152,2463
1153,2464
1154,2465
1155,2466
1156,2467
1157,2468
1158,2469
1159,2364
1160,2365
1161,2366
1162,2367
1163,2368
1164,2369
1165,2370
1166,2371
1168,2372
1169,2373
1175,2482
1176,8594
1178,2330
1179,10969
1179,11724
1180,10788
1184,2324
1185,2325
1186,2326
1186,10415
1186,10503
1186,11614
1186,11816
1187,2327
1188,2328
1188,9621
1188,10505
1188,11655
1189,2329
1193,2331
1193,10570
1194,2332
1194,11493
1195,2333
1196,2334
1196,5710
1197,2335
1197,11484
1198,2336
1199,8569
1199,9635
1206,10458
1206,10546
1206,11395
1207,10462
1207,10550
1211,2337
1212,7721
