prop,serie,ref,name,name_es,color,medium
M,MC,70.877,Gold Brown,Marrón Dorado,#BA8748,4
ME,MC,70.878,Old Gold,Oro Viejo,#4E361F,4
M,MC,70.879,Green Brown,Marrón Verde,#7A6A38,4
M,MC,70.880,Khaki Grey,Gris Caqui,#7B6742,4
M,MC,70.881,Green Yellow,Verde Amarillo,#706B46,4
M,MC,70.882,Middle Stone,Amarillo Piedra,#897A46,4
M,MC,70.883,Silver Grey,Gris Plateado,#CDC6BC,4
M,MC,70.884,Stone Grey,Gris Piedra,#867E6A,4
M,MC,70.885,Pastel Green,Verde Pastel,#8A9270,4
M,MC,70.886,Green Grey,Gris Verdoso,#656756,4
M,MC,70.887,US Olive Drab,Verde Oliva,#565441,4
M,MC,70.888,Olive Grey,Gris Oliva,#3A3D2C,4
M,MC,70.889,Olive Brown,Pardo Oliva,#372C25,4
M,MC,70.890,Refractive Green,Verde Refractario,#3F4735,4
M,MC,70.891,Intermediate Green,Verde Medio,#4F6848,4
M,MC,70.892,Yellow Olive,Oliva Amarillo,#303830,4
M,MC,70.893,US Dark Green,Verde Americano,#444739,4
M,MC,70.894,Cam. Olive Green,Cam. Verde Oliva,#35392E,4
M,MC,70.895,Gunship Green,Verde Acorazado,#465542,4
M,MC,70.896,Extra Dark Green,Verde Extra Osc.,#22240D,4
M,MC,70.897,Bronze Green,Verde Bronce,#283625,4
M,MC,70.898,Dark Sea Blue,Azul Marina Osc.,#1D2B38,4
M,MC,70.899,Dark Prussian Blue,Azul de Prusia Osc.,#332443,4
M,MC,70.901,Pastel Blue,Azul Pastel,#607C91,4
M,MC,70.902,Azure,Azul Azur,#5A6F9F,4
M,MC,70.905,Blue Grey Pale,Gris Azul Claro,#7D8487,4
M,MC,70.906,Pale Blue,Azul Pálido,#859DA1,4
M,MC,70.907,Pale Grey Blue,Azul Gris Claro,#9EAFAF,4
M,MC,70.908,Carmine Red,Rojo Carmín,#952528,4
M,MC,70.909,Vermilion,Bermellón,#C63335,4
M,MC,70.911,Light Orange,Naranja Claro,#F47932,4
M,MC,70.913,Yellow Ochre,Ocre Amarillo,#DAA751,4
M,MC,70.914,Green Ochre,Ocre Verde,#9D8143,4
M,MC,70.915,Deep Yellow,Amarillo Intenso,#EDC52A,4
M,MC,70.916,Sand Yellow,Amarillo Arena,#E6BC5D,4
M,MC,70.917,Beige,Beige,#DBB971,4
M,MC,70.918,Ivory,Hueso,#E4DCCA,4
M,MC,70.919,Cold White,Blanco Frío,#F2F1F6,4
M,MC,70.920,German Uniform,Uniforme Alemán,#415046,4
M,MC,70.921,English Uniform,Uniforme Inglés,#6B5532,4
M,MC,70.922,Uniform Green,Verde Uniforme,#455433,4
M,MC,70.923,Japan. Unif. WWII,Unif. Japonés WWII,#987E37,4
M,MC,70.924,Russian Unif. WWII,Unifor. Ruso WWII,#515239,4
M,MC,70.925,Blue,Azul Intenso,#352E51,4
M,MC,70.926,Red,Rojo,#76292C,4
M,MC,70.927,Dark Flesh,Carne Oscura,#CF9246,4
M,MC,70.928,Light Flesh,Carne Clara,#F0CDB0,4
M,MC,70.929,Light Brown,Marrón Claro,#9D613C,4
M,MC,70.930,Dark Blue,Azul Oscuro,#253A69,4
C,MC,70.939,Smoke Ink,Tinta Humo,#5A4B49,4
M,MC,70.940,Saddle Brown,Marrón Cuero,#896A64,4
M,MC,70.941,Burnt Umber,Sombra Tostada,#48352E,4
M,MC,70.943,Grey Blue,Azul Gris,#5A7287,4
M,MC,70.944,Old Rose,Rosa Antiguo,#B87172,4
M,MC,70.945,Magenta,Magenta,#8D365D,4
M,MC,70.946,Dark Red,Rojo Oscuro,#622E28,4
M,MC,70.947,Dark Vermilion,Bermellón Oscuro,#B43132,4
M,MC,70.948,Golden Yellow,Amarillo Dorado,#FAA73F,4
M,MC,70.949,Light Yellow,Amarillo Claro,#F4D151,4
M,MC,70.950,Black,Negro,#18131A,4
M,MC,70.951,White,Blanco,#FFFFFF,4
M,MC,70.952,Lemon Yellow,Amarillo Limón,#E0D12E,4
M,MC,70.953,Flat Yellow,Amarillo Mate,#F5B742,4
M,MC,70.954,Yellow Green,Amarillo Verde,#D6E040,4
M,MC,70.955,Flat Flesh,Carne Mate,#DC975F,4
C,MC,70.956,Clear Orange,Naranja,#CE5133,4
M,MC,70.957,Flat Red,Rojo Mate,#A03132,4
M,MC,70.958,Pink,Rosa,#AD5581,4
M,MC,70.959,Purple,Púrpura,#523559,4
M,MC,70.960,Violet,Violeta,#392D50,4
M,MC,70.961,Sky Blue,Azul Cielo,#67B3CA,4
M,MC,70.962,Flat Blue,Azul Mate,#3F527C,4
M,MC,70.963,Medium Blue,Azul Medio,#104974,4
M,MC,70.964,Field Blue,Azul Militar,#4C575D,4
M,MC,70.965,Prussian Blue,Azul de Prusia,#374863,4
M,MC,70.966,Turquoise,Turquesa,#08475F,4
M,MC,70.967,Olive Green,Verde Oliva,#4E633D,4
M,MC,70.968,Flat Green,Verde Oliva Osc.,#324D30,4
M,MC,70.969,Park Green Flat,Verde,#1D6851,4
M,MC,70.970,Deep Green,Verde Oscuro,#114C30,4
M,MC,70.971,Light Green Grey,Verde Gris Pálido,#ABAFA6,4
M,MC,70.972,Light Green Blue,Verde Azul Pálido,#81948D,4
M,MC,70.974,Green Sky,Verde Azul,#708D67,4
M,MC,70.975,Military Green,Verde Militar,#3B3E32,4
M,MC,70.976,Buff,Amarillo Caqui,#D0AD58,4
M,MC,70.977,Desert Yellow,Amarillo Desierto,#B08551,4
M,MC,70.978,Dark Yellow,Amarillo Camuflaje,#8B8745,4
M,MC,70.979,Cam. Dark Green,Cam. Verde Osc.,#1C2D20,4
M,MC,70.980,Black Green,Verde Negro,#20342B,4
M,MC,70.981,Orange Brown,Marrón Naranja,#AA6946,4
M,MC,70.982,Cavalry Brown,Marrón Rojo,#814940,4
M,MC,70.983,Flat Earth,Tierra Mate,#60432C,4
M,MC,70.984,Flat Brown,Marrón Mate,#6C443E,4
M,MC,70.985,Hull Red,Marrón Rojizo,#553638,4
M,MC,70.986,Deck Tan,Marrón Cubierta,#A29E8E,4
M,MC,70.987,Medium Grey,Gris Medio,#7E705C,4
M,MC,70.988,Khaki,Marrón Caqui,#6C6041,4
M,MC,70.989,Sky Grey,Gris Cielo,#9FA4A7,4
M,MC,70.990,Light Grey,Gris Pálido,#848B8E,4
M,MC,70.991,Dark Sea Grey,Gris Marina,#656868,4
M,MC,70.992,Neutral Grey,Gris Neutral,#5F6363,4
